709134,184191,116114,73530,51861,35567,29618,23611,17275,13454,12091,10247,8105,7370,5912,5572,5866,4438,4372,3787,3470,3336,2756,2581,2146,1895,2031,1818,1790,1751,1432,1234,1101,1317,1142,1138,1001,964,1065,949,898,773,704,689,658,580,586,539,624,532,516,416,487,434,449,381,405,320,366,373,253,245,316,316,270,269,238,200,186,253,209,223,273,195,193,228,177,195,184,152,141,151,165,154,162,148,160,110,104,106,124,126,89,103,127,96,97,103,79,108,97,101,116,81,84,69,94,83,75,65,62,52,89,79,52,62,84,60,60,67,63,53,53,42,50,63,59,54,58,46,42,42,36,40,40,42,42,49,48,39,34,22,32,20,30,33,45,45,40,40,35,34,30,18,21,30,17,39,29,15,25,28,32,25,17,23,33,20,29,29,26,33,23,18,22,15,20,18,12,25,17,19,13,13,19,11,10,16,22,21,22,20,12,11,12,23,14,12,17,19,8,22,12,14,24,17,16,13,10,17,21,5,9,7,9,5,4,9,12,12,9,8,3,3,7,13,8,11,11,13,9,10,7,6,9,5,5,6,7,8,4,11,8,8,3,10,4,9,4,5,7,14,12,11,8,8,6,6,6,3,4,11,4,3,11,9,7,9,9,8,10,4,4,11,4,12,16,5,5,14,10,6,5,12,5,4,10,8,4,7,13,6
188425,71714,43554,32018,19480,16739,12414,9059,9358,7056,5212,4542,4945,3117,3548,3253,2100,2491,2190,2014,1773,1686,1368,1370,1430,1398,1006,940,870,783,888,687,684,616,743,568,581,477,460,456,404,427,423,308,320,336,302,334,254,248,238,262,211,193,279,164,224,164,171,222,267,153,186,144,173,130,118,172,138,134,111,118,129,92,95,118,103,108,99,78,105,104,61,78,86,74,55,81,81,72,87,57,74,62,70,58,50,63,92,57,47,43,67,53,44,50,37,40,35,39,45,67,26,29,43,38,27,39,48,23,18,35,31,29,36,36,40,28,22,32,32,21,25,29,26,28,24,23,22,19,22,29,15,22,9,18,20,26,22,17,17,26,17,28,17,10,11,19,17,10,17,13,13,16,12,10,19,25,11,8,15,17,11,18,13,11,17,16,9,2,9,7,13,7,7,11,12,9,10,7,7,9,11,5,9,8,10,9,14,7,10,10,14,11,10,11,11,5,9,4,10,9,5,7,1,3,5,3,3,0,6,3,3,5,1,3,3,3,3,7,2,9,4,5,6,7,2,3,3,6,5,5,3,2,8,3,6,1,5,12,7,3,3,7,4,5,5,3,6,4,4,5,4,5,7,1,7,6,6,5,4,8,5,4,3,4,2,4,5,10,8,3,3,5,3,4,6,3,6,4,2,6
122785,44627,33800,20481,13227,10213,7251,6047,4755,4109,3582,2548,2166,1978,1832,1453,1851,1487,1656,1036,1150,1079,873,547,843,749,575,725,418,544,496,380,455,408,427,374,327,286,267,337,226,286,185,276,241,182,236,194,255,179,133,159,190,121,129,125,163,126,103,119,128,81,87,83,112,113,81,87,62,86,79,59,78,59,58,56,53,53,50,53,56,56,56,40,53,45,34,34,39,55,45,37,40,65,27,38,36,36,37,20,26,29,27,25,26,30,29,19,20,26,27,26,27,30,31,36,28,24,23,16,30,14,12,21,16,12,32,11,14,19,21,18,12,18,11,27,16,18,16,15,15,23,11,19,7,13,12,11,3,6,20,8,12,6,7,9,13,12,9,11,5,8,5,15,3,8,7,11,10,5,6,9,16,4,4,2,5,2,9,7,5,5,4,8,6,8,7,3,4,7,6,11,5,5,4,6,6,5,2,10,4,7,4,7,5,6,10,9,3,11,2,4,1,0,4,4,2,4,1,6,0,2,4,5,3,4,3,4,1,1,2,4,4,3,2,7,1,3,4,1,2,4,1,2,4,3,4,5,5,3,0,4,3,3,2,2,1,3,0,6,6,2,2,5,1,2,2,4,1,2,3,2,2,1,3,2,1,1,2,2,1,3,4,5,5,4,3,3,1,2,2,0
79987,32958,20716,13667,9252,7814,5634,4933,3322,2596,2686,2111,1761,1391,1336,1150,1068,823,873,861,794,697,783,519,660,419,461,389,415,417,360,278,351,261,263,206,297,196,171,158,179,256,244,185,184,153,121,142,117,75,123,108,104,79,94,92,81,120,102,110,57,99,85,87,69,50,71,79,67,48,79,57,54,44,38,35,50,51,58,49,42,53,37,46,35,32,36,47,34,29,32,25,20,26,47,22,28,38,15,25,26,23,19,18,23,13,15,30,17,14,23,28,19,27,23,21,17,13,24,25,15,13,14,17,19,29,17,19,14,13,23,10,11,10,14,12,22,14,9,12,5,12,11,14,13,12,7,1,17,9,13,13,14,12,11,7,8,7,7,4,13,9,6,5,11,6,4,11,8,9,5,10,7,10,6,4,4,3,5,3,9,9,8,8,3,6,6,6,2,11,2,10,6,8,11,1,4,7,5,2,7,9,6,5,6,6,7,4,5,2,3,3,3,5,1,2,4,2,1,2,2,4,1,0,1,1,3,0,2,1,1,4,6,3,3,1,0,4,0,0,2,1,2,1,1,4,6,5,4,5,5,1,3,0,4,3,3,5,3,3,3,2,3,1,4,3,1,0,2,2,2,3,3,4,1,3,5,0,0,3,1,0,1,0,5,2,1,2,0,3,2,1
57694,21477,14634,9826,8902,5076,4085,3334,2731,2442,1898,1892,1539,1473,1153,1049,979,912,817,603,536,619,530,455,549,450,368,309,314,234,353,318,306,246,252,187,209,141,156,205,195,120,171,144,82,159,132,154,77,112,81,120,114,91,77,90,62,77,57,71,62,59,54,33,65,56,62,53,97,47,49,35,36,32,35,49,25,45,33,29,39,18,40,14,23,23,16,18,25,25,13,18,28,20,31,35,28,17,24,23,19,29,25,27,8,17,17,18,17,18,18,23,10,13,23,11,12,14,16,20,18,10,19,13,8,7,11,6,10,8,8,11,4,9,10,13,5,9,6,10,9,8,6,4,10,3,6,5,0,13,11,7,14,8,3,2,3,3,9,6,1,6,5,18,6,8,5,7,10,6,4,6,4,5,7,1,0,3,1,4,6,3,5,4,2,7,7,6,9,1,1,1,6,4,5,4,4,4,4,3,7,4,5,2,2,2,1,7,8,5,4,4,3,0,3,4,4,1,0,0,3,1,3,1,2,3,2,4,8,1,2,1,2,1,2,3,4,1,3,4,1,1,3,3,2,4,3,4,3,0,1,3,2,4,1,0,0,3,1,0,0,0,2,0,2,3,3,3,1,2,0,2,1,0,0,3,2,4,0,1,2,3,0,0,1,1,3,0,2,2,1,2
40719,17809,10529,7945,4949,3965,3282,2664,2175,1740,1871,1129,1062,956,901,1030,686,577,409,560,460,404,379,389,372,335,345,382,253,229,211,301,180,127,184,178,143,194,103,108,100,102,113,111,105,89,100,131,111,88,103,110,82,72,66,97,66,99,74,59,54,48,63,61,40,56,58,86,80,55,61,47,44,48,26,36,74,32,25,44,35,36,33,34,26,14,25,25,35,45,27,25,17,16,16,27,32,26,16,17,22,33,22,36,27,13,23,19,16,21,8,14,12,8,7,19,4,12,13,11,9,13,9,10,8,5,10,15,5,13,10,13,8,6,15,10,9,8,12,12,6,10,1,6,17,8,4,7,8,6,1,5,5,7,5,9,6,9,5,2,7,4,2,10,8,10,9,6,5,3,4,12,2,10,4,7,7,4,7,2,2,2,3,3,2,6,4,2,3,3,3,6,5,1,6,7,1,5,2,3,10,3,4,1,5,6,5,3,4,3,2,0,1,4,0,1,2,1,1,2,0,2,2,5,2,1,1,0,4,4,1,0,1,4,0,1,4,2,5,2,0,2,4,3,3,0,3,1,2,1,1,2,3,4,2,1,2,3,4,4,4,3,2,1,2,3,2,3,3,1,0,2,1,1,1,1,3,1,2,1,1,0,0,1,0,2,1,1,1,0,6,1
34940,13477,7664,5678,4214,3450,2177,2072,1744,1073,1201,1125,794,829,737,607,604,335,324,301,294,340,437,431,249,206,376,174,262,189,139,161,125,109,160,111,124,150,96,102,72,91,51,111,122,79,92,50,110,75,74,69,30,82,57,43,30,29,44,51,30,48,35,26,38,35,21,30,47,34,45,35,44,31,36,25,20,31,12,22,34,35,27,22,15,13,20,10,23,22,15,10,10,6,16,7,9,18,18,8,8,6,11,18,10,16,15,5,13,7,20,20,3,4,9,5,5,8,6,9,3,7,12,11,10,2,8,15,4,8,3,7,1,12,3,2,8,7,4,2,3,1,5,5,3,9,15,4,1,5,4,2,5,3,2,4,4,0,4,4,1,6,2,1,4,2,1,0,3,9,9,3,5,2,4,4,4,1,1,2,2,3,0,2,1,3,1,2,2,4,1,2,1,1,2,4,1,3,3,5,2,2,2,6,2,3,2,4,3,5,1,2,1,0,1,4,0,2,1,1,1,3,1,1,3,0,1,2,1,2,1,1,0,0,2,0,3,3,0,3,0,2,1,0,0,3,0,1,4,0,2,0,1,2,0,1,1,1,1,0,2,1,2,0,1,1,0,1,2,1,3,1,0,1,4,2,1,1,4,0,2,1,1,1,4,1,1,1,0,1,2,1
26662,9913,7054,5078,3270,2780,2057,1917,1315,1452,1310,886,709,559,748,550,440,586,516,371,382,302,231,222,211,195,136,383,145,200,104,161,122,132,95,92,133,97,92,85,112,87,37,145,130,101,73,73,77,39,84,64,45,38,62,57,44,32,28,23,23,18,38,36,47,34,31,46,36,29,38,26,14,41,25,16,16,18,27,17,10,10,21,15,20,7,19,26,16,21,18,18,13,19,21,9,8,11,15,10,9,9,10,15,9,11,13,14,21,9,8,8,12,8,15,8,7,4,7,8,12,7,7,2,13,8,5,12,4,5,9,6,5,8,9,7,6,2,3,4,8,1,6,2,6,4,3,6,6,3,6,1,1,1,6,5,3,3,5,0,0,5,3,6,2,2,1,2,5,3,2,2,6,5,5,3,1,1,4,0,3,5,2,2,5,3,1,2,7,4,2,2,4,3,1,1,4,1,5,0,2,5,1,0,2,2,1,3,1,2,1,0,0,2,2,1,0,0,1,1,2,2,2,1,1,1,0,1,2,0,2,2,1,1,0,0,0,2,4,1,0,0,1,2,1,1,2,1,0,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,2,1,0,1,0,1,2,1,0,3,4,0,1,3,1,0,1,1,2,1,0,0,2,2,1,2,0,3
19838,9918,5208,3542,2649,2463,1698,1314,1121,1154,1145,861,835,864,715,458,469,457,310,381,385,350,370,307,215,258,147,196,261,239,135,130,84,139,67,120,105,152,58,65,128,115,107,92,60,79,44,37,61,58,32,55,68,42,35,42,24,35,43,14,43,36,33,28,30,15,34,14,36,27,18,25,19,15,42,16,17,27,18,16,8,13,10,16,16,33,27,18,18,11,6,9,12,11,8,8,10,11,3,5,29,12,10,3,5,12,9,13,7,4,7,8,2,6,6,8,5,7,10,13,3,5,9,12,3,15,3,5,4,3,5,3,11,2,1,7,4,6,6,1,2,2,6,5,3,4,5,2,1,15,1,3,2,3,5,3,0,1,5,2,3,2,2,0,2,1,2,1,8,4,1,2,0,1,3,0,2,2,5,1,1,6,2,1,2,4,4,3,3,0,0,4,1,1,1,2,3,3,1,0,1,1,1,3,0,1,2,4,3,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,3,0,2,2,1,0,0,1,1,1,0,0,0,0,1,2,3,1,0,1,1,0,3,0,0,2,1,2,1,1,1,0,2,1,3,0,0,3,1,2,0,3,3,1,0,1,2,1,2,2,1,0,1,0,0,1,2,0,0,0,1,1,1,1,1,0,1,0
16446,8255,4706,3081,2736,1907,1332,1457,1202,891,930,864,611,720,580,476,356,293,325,242,232,184,247,215,173,267,111,159,205,135,125,123,179,117,88,114,76,96,98,100,79,49,64,101,34,45,57,41,52,74,45,48,32,47,33,36,42,32,22,21,54,35,28,29,21,20,33,21,18,24,39,32,20,18,20,21,23,8,22,18,22,23,10,5,11,22,17,5,11,4,11,18,14,5,7,10,20,5,8,3,12,14,7,7,6,13,12,14,10,13,5,6,10,6,11,4,6,9,4,6,6,6,3,6,12,1,6,1,0,5,5,3,3,4,6,7,6,3,5,7,3,3,4,5,5,2,10,1,2,3,1,3,3,2,4,4,4,1,2,3,4,7,6,1,2,1,1,2,4,3,2,0,1,4,1,5,1,1,2,2,0,0,1,1,1,5,2,0,0,1,0,0,3,1,2,0,2,2,1,1,1,2,0,0,3,2,2,4,2,1,1,3,1,2,1,1,1,0,1,0,1,2,1,1,0,1,2,2,3,2,1,1,2,0,0,0,0,2,0,2,0,1,2,0,1,0,1,1,0,0,1,0,2,1,1,1,1,1,0,3,1,0,1,2,0,0,1,1,0,0,1,5,1,1,3,1,1,3,3,1,0,0,4,0,0,2,4,4,0,0,1,0
