flown,prob
1,0.4733934758449369
2,0.1587756858643307
3,0.08014643394129568
4,0.04977555511974025
5,0.034884291037458326
6,0.025846571223115643
7,0.019963064653199972
8,0.015381556296441569
9,0.0127721121788586
10,0.010620274127824628
11,0.008988690592926717
12,0.007806541587675143
13,0.006695212568913295
14,0.005730971214399337
15,0.005050009805844283
16,0.00464143296071125
17,0.004167483820356933
18,0.0036608485323919725
19,0.003344882438822427
20,0.003094288640474167
21,0.002930857902420954
22,0.0027211217885859972
23,0.0024323941513586544
24,0.002228105728792138
25,0.002078294218910026
26,0.0020374365343967227
27,0.0017677758166089212
28,0.0016942319844849753
29,0.0015335250920659824
30,0.0014218474210629536
31,0.0014055043472576323
32,0.0012420736092044191
33,0.0012420736092044191
34,0.0012802074480835022
35,0.0011576343945435925
36,0.0010541282604432242
37,0.001075919025516986
38,0.0008825259854873505
39,0.0008389444553398269
40,0.0008362206097056068
41,0.0009043167505611122
42,0.0008280490728029462
43,0.0006973044823603756
44,0.0007081998648972565
45,0.0007354383212394587
46,0.0006264844958706501
47,0.000588350656991567
48,0.0006264844958706501
49,0.0005529406637467041
50,0.0005420452812098232
51,0.0005120829792334009
52,0.0005529406637467041
53,0.0004957399054280795
54,0.00045760606654899656
55,0.0004875683685254189
56,0.0005093591335991807
57,0.00042764376457257416
58,0.0003622714693512889
59,0.0003895099256934911
60,0.00036499531498550915
61,0.00036771916061972934
62,0.00041130069076725283
63,0.0003622714693512889
64,0.0002860037915931228
65,0.0003568237780828485
66,0.00035409993244862826
67,0.00035137608681440807
68,0.0002451461070798196
69,0.00031868993920376547
70,0.00027238456342202174
71,0.00027238456342202174
72,0.0002941753284957835
73,0.000275108409056242
74,0.0002669368721535813
75,0.00026966071778780154
76,0.0001906691943954152
77,0.00026148918088514085
78,0.0002533176439824802
79,0.0002533176439824802
80,0.00022607918764027806
81,0.00022063149637183762
82,0.00019611688566385565
83,0.00021245995946917695
84,0.0001743261205900939
85,0.00020701226820073654
86,0.00019339304002963543
87,0.0002015645769322961
88,0.00017704996622431413
89,0.00018249765749275457
90,0.0001906691943954152
91,0.0001743261205900939
92,0.00016615458368743327
93,0.00014981150988211195
94,0.00013619228171101087
95,0.0001906691943954152
96,0.0001416399729794513
97,0.00011167767100302892
