rankpct,cumpct
0.09009009009009009,3.8796017454366662
0.18018018018018017,7.012476184622949
0.2702702702702703,9.034478520066376
0.36036036036036034,10.918198021018991
0.45045045045045046,12.628295740888698
0.5405405405405406,14.008051133919242
0.6306306306306306,15.221867125560813
0.7207207207207207,16.401880646549074
0.8108108108108109,17.532726937496157
0.9009009009009009,18.585212955565115
0.990990990990991,19.60082355110319
1.0810810810810811,20.599532911314608
1.1711711711711712,21.579804560260584
1.2612612612612613,22.557003257328986
1.3513513513513513,23.497326531866506
1.4414414414414414,24.42535799889373
1.5315315315315314,25.321123471206434
1.6216216216216217,26.166185237539175
1.7117117117117115,26.992809292606474
1.8018018018018018,27.79024030483682
1.891891891891892,28.58767131706717
1.981981981981982,29.38049290148116
2.0720720720720722,30.165632106201212
2.1621621621621623,30.944625407166118
2.2522522522522523,31.705180996865582
2.3423423423423424,32.435007067789314
2.4324324324324325,33.12027533648823
2.5225225225225225,33.804007129248355
2.6126126126126126,34.460082355110316
2.7027027027027026,35.08850101407412
2.7927927927927927,35.71538319709913
2.8828828828828827,36.34226538012414
2.9729729729729732,36.94456394812856
3.063063063063063,37.51613299735725
3.153153153153153,38.086165570647154
3.2432432432432434,38.65466166799827
3.3333333333333335,39.21393890971667
3.423423423423423,39.773216151435065
3.5135135135135136,40.33095691721467
3.6036036036036037,40.87333292360641
3.6936936936936933,41.40802655030422
3.783783783783784,41.94118370106324
3.873873873873874,42.46204904431196
3.963963963963964,42.97984143568311
4.054054054054054,43.457685452645805
4.1441441441441444,43.92938356585335
4.234234234234234,44.39954520312211
4.324324324324325,44.86048798475815
4.414414414414415,45.31835781451662
4.504504504504505,45.770081740519934
4.594594594594595,46.22026919058447
4.684684684684685,46.670456640649
4.774774774774775,47.10527933132566
4.864864864864865,47.52781021449203
4.954954954954955,47.94419519390325
5.045045045045045,48.35904369737568
5.135135135135135,48.766209821154185
5.225225225225225,49.17337594493269
5.315315315315315,49.56364083338453
5.405405405405405,49.95236924589759
5.495495495495495,50.33341527871672
5.585585585585585,50.71446131153585
5.675675675675676,51.08936144059983
5.7657657657657655,51.46426156966381
5.8558558558558556,51.83916169872779
5.9459459459459465,52.20945239997541
6.036036036036037,52.5720607215291
6.126126126126126,52.93313256714399
6.216216216216217,53.2926679368201
6.306306306306306,53.65220330649621
6.396396396396396,54.00712924835596
6.486486486486487,54.358982238338136
6.576576576576576,54.704689324565166
6.666666666666667,55.04885993485341
6.756756756756757,55.393030545141656
6.846846846846846,55.734128203552324
6.936936936936937,56.073689386024206
7.027027027027027,56.411714092557304
7.117117117117116,56.74512937127404
7.207207207207207,57.07700817405199
7.297297297297297,57.40427754901358
7.3873873873873865,57.72540102022002
7.4774774774774775,58.044988015487675
7.567567567567568,58.36303853481654
7.657657657657657,58.67955257820662
7.747747747747748,58.98531129002519
7.837837837837839,59.28799704996619
7.927927927927928,59.5891463339684
8.018018018018019,59.88261323827668
8.108108108108109,60.17454366664617
8.198198198198197,60.46493761907688
8.288288288288289,60.75533157150758
8.378378378378379,61.04572552393829
8.468468468468467,61.33458300043021
8.558558558558559,61.615758097228195
8.64864864864865,61.89232376620982
8.73873873873874,62.16581648331387
8.82882882882883,62.43930920041792
8.91891891891892,62.709728965644395
9.00900900900901,62.977075778993296
9.0990990990991,63.24134964046463
9.18918918918919,63.50562350193596
9.27927927927928,63.76989736340729
9.36936936936937,64.02956179706226
9.45945945945946,64.28768975477844
9.54954954954955,64.54274476061705
9.63963963963964,64.79779976645567
9.72972972972973,65.0497818204167
9.81981981981982,65.30022739843895
9.90990990990991,65.5506729764612
10.0,65.79958207854466
10.09009009009009,66.04695470468934
10.18018018018018,66.28971790301766
10.27027027027027,66.53248110134598
10.36036036036036,66.762952492164
10.45045045045045,66.98881445516567
10.54054054054054,67.21467641816733
10.63063063063063,67.43592895335263
10.72072072072072,67.65410853666036
10.81081081081081,67.8707516440293
10.9009009009009,68.08739475139824
10.99099099099099,68.30403785876717
11.081081081081082,68.51760801425854
11.17117117117117,68.72656874193355
11.26126126126126,68.93399299366976
11.351351351351353,69.14141724540598
11.441441441441441,69.34730502120341
11.531531531531531,69.55319279700085
11.621621621621623,69.75908057279828
11.711711711711711,69.96496834859572
11.801801801801801,70.16778317251557
11.891891891891893,70.37059799643542
11.981981981981981,70.5718763444165
12.072072072072073,70.77315469239757
12.162162162162163,70.97443304037864
12.252252252252251,71.17417491242092
12.342342342342343,71.3739167844632
12.432432432432433,71.57212218056671
12.522522522522522,71.76879110073142
12.612612612612612,71.96546002089613
12.702702702702704,72.15751951324448
12.792792792792792,72.34650605371526
12.882882882882882,72.53549259418604
12.972972972972974,72.72294265871803
13.063063063063062,72.90885624731123
13.153153153153152,73.09323335996565
13.243243243243244,73.27761047262007
13.333333333333334,73.46198758527449
13.423423423423422,73.64329174605133
13.513513513513514,73.82305943088939
13.603603603603604,74.00282711572744
13.693693693693692,74.17952184868793
13.783783783783784,74.35468010570962
13.873873873873874,74.52983836273131
13.963963963963963,74.70346014381423
14.054054054054054,74.87400897301956
14.144144144144144,75.04302132628611
14.234234234234233,75.21203367955266
14.324324324324325,75.38104603281921
14.414414414414415,75.54852191014697
14.504504504504503,75.71599778747473
14.594594594594595,75.8819371888637
14.684684684684685,76.04634011431389
14.774774774774773,76.20920656382529
14.864864864864865,76.37053653739791
14.954954954954955,76.53186651097053
15.045045045045043,76.69012353266557
15.135135135135137,76.84377112654424
15.225225225225225,76.99741872042291
15.315315315315313,77.14952983836281
15.405405405405407,77.3016409563027
15.495495495495495,77.45221559830381
