dist,flown_mean,flown_lower,flown_upper
5.000000000000001,20.537477148080438,12.276873857404022,34.29465265082265
5.436938852923627,15.99833472106578,12.779808492922566,19.63717735220649
5.912060818086099,16.389543446244478,13.125,20.05607511045655
6.428702632539951,17.029158383035124,13.70294897282969,20.935818422796554
6.9904926233497715,16.77413793103448,13.772902298850575,20.18566091954023
7.601376188993278,16.925296239052035,14.018006182380217,20.313395157135496
8.265643507525217,15.572705882352942,13.047058823529412,18.41004705882353
8.987959666095955,15.466495945369184,13.122727272727273,18.03548868971404
9.773397423421516,16.566322478157268,13.852601270849881,19.609451945988877
10.627472835292822,15.754873646209386,13.217436823104693,18.585631768953068
11.556183993318797,16.05082508250825,13.306980198019804,19.13108910891089
12.56605314896181,15.845016267376517,13.167968056787933,18.83881987577639
13.664172518698754,15.183017312448476,12.846633690574334,17.842017037647707
14.858254091992906,15.01467937161988,12.778650527942315,17.53853978882307
16.156683791873544,13.779783393501805,11.852442839951866,15.883802647412756
17.568580368487744,12.846311943366066,11.151575702215117,14.709328613838776
19.103859439228465,12.699784017278617,11.049168466522678,14.542861771058314
20.773303125186597,12.363062512726533,10.515363469761759,14.612512726532275
22.588635772977366,12.428047131543364,10.545740776511494,14.619094069924667
24.562606293728226,13.033508049419693,10.812963309621864,15.516229876450767
26.709077697487487,13.365401906131991,10.952328717856501,16.13496673260205
29.043124451845134,12.52858384013901,10.257940920938315,15.1903909643788
31.581138348506613,11.146875526360114,9.190138116894055,13.401237998989384
34.34094362131039,11.420106847984458,9.334045653229724,13.77741622146673
37.34192212415244,10.91304347826087,9.165287267080746,12.942166149068322
40.60514944793054,11.28214016578749,9.657852298417483,13.231657874905801
44.15354293244479,12.05330829240104,10.573237503611672,13.817754984108639
48.01202261272812,12.680354380537196,11.243756152439882,14.261911123611306
52.20768623011786,12.264042640426405,11.00190651906519,13.626076260762607
56.76999953715474,12.528130428972338,11.126252839770146,14.057390084190828
61.7310032328026,11.95006468305304,10.628686934023285,13.437283311772315
67.12553798127564,11.889774567193921,10.36180097147839,13.693797484120063
72.99148909475964,12.008025874460948,10.318022280785817,13.956037374221369
79.37005259841,11.447963281698222,10.000699942627653,13.190975329890993
