cent,cent_out_mean,cent_out_upper,cent_out_lower,cent_in_mean,cent_in_upper,cent_in_lower
1e-05,0.05469329990097588,0.05209443399693627,0.05730330248007235,0.05537781821000951,0.053181618273546984,0.05767819959857914
1.2589254117941661e-05,0.05500989909516767,0.05238846735113021,0.057735327292231034,0.05403491018063421,0.05173493063752164,0.05638783715669723
1.584893192461114e-05,0.05689666082276653,0.05459385636200074,0.059312311129629,0.054449063399902665,0.052550887558610655,0.05639195038583586
1.9952623149688786e-05,0.05767360736541065,0.0551435296688295,0.06016867274431443,0.05599933806956147,0.05395190176952088,0.05809232378908049
2.5118864315095822e-05,0.05926489443000186,0.05698117419216815,0.06156672782933851,0.05736615380875306,0.055543927402366404,0.05923165218908541
3.1622776601683795e-05,0.060349514493987476,0.05822152798058536,0.06258760839584707,0.059302084864526025,0.0575391550065976,0.061112547868885064
3.9810717055349695e-05,0.060938277269630935,0.05893079035742901,0.06303646145965447,0.06039922071761964,0.05864286626844714,0.06217846044418033
5.011872336272725e-05,0.06079081345968183,0.05896574848828657,0.06259732249320302,0.06061865809500053,0.05912567610343622,0.062207493464468175
6.309573444801929e-05,0.061856629251693655,0.06018476481536841,0.06352597782581547,0.06167961869915496,0.06023367622846441,0.06314190072035837
7.943282347242822e-05,0.0633463827473134,0.061704267159401645,0.0650053526204513,0.06248925181746431,0.06113775810127456,0.06391653117571061
0.0001,0.06356452729426228,0.062070805360118476,0.06513352711091619,0.06279469836510732,0.06153705057966478,0.06407863317419525
0.00012589254117941674,0.06380329836551242,0.06237795709549691,0.06523446213848973,0.063668663963913,0.062451817987001355,0.0648833959442182
0.00015848931924611142,0.06527955279475202,0.06398064332202286,0.06661276711455526,0.06521660284631231,0.06410083319887631,0.06632809917292408
0.00019952623149688788,0.0672314624914861,0.06602056195327305,0.06848534280280422,0.06652290715447025,0.06549188705664492,0.06759489295218513
0.0002511886431509582,0.06852081325935779,0.06733557742511719,0.06967479191781045,0.06880746099651443,0.06782721936045423,0.06976883025631359
0.00031622776601683794,0.0715985747086794,0.07049639404346095,0.07271802503825996,0.07099992669046089,0.07004245863328896,0.07196375996036673
0.00039810717055349735,0.07348620365580762,0.07241221859897089,0.07456065243659228,0.07259189124621272,0.0716705712430397,0.07352079110158329
0.0005011872336272725,0.07247171388572494,0.07149856256600479,0.07346008998007207,0.0726700981296786,0.07181473235976335,0.0735217974963889
0.000630957344480193,0.0742691982561797,0.07330077275335418,0.07520689412903593,0.07410420304616569,0.07329120980766704,0.07492580369283512
0.0007943282347242822,0.07559669653987186,0.07471887140583496,0.0764697658541674,0.07640055791104543,0.07562616332047667,0.07719061561353013
0.001,0.07720132077629514,0.07638300901997964,0.07801436742573305,0.07971914537598264,0.07896714155496032,0.08049428741214425
0.0012589254117941675,0.08276963092208005,0.08196094970002532,0.08360187460191026,0.0871426021770011,0.08636939005079486,0.08790516035640263
0.001584893192461114,0.08610493989620975,0.08531169953197631,0.08689949892538142,0.09068494071385877,0.08995091060075266,0.09143114231838272
0.0019952623149688807,0.08710128981545248,0.08638036724530627,0.0878508147571956,0.09171638571023065,0.09102680460953085,0.09240487245452847
0.002511886431509582,0.08805636533429921,0.0873428790586592,0.08878962267646565,0.09393082086411897,0.09325283954206985,0.09460359121078134
0.0031622776601683794,0.08836184713104381,0.08768765544038397,0.08902796667874836,0.0945673393119785,0.09393210440016013,0.0951858219679612
0.003981071705534973,0.09120961178718985,0.09055427744513495,0.09187881680152984,0.09873118564165176,0.09808905009269243,0.09935673602404947
0.005011872336272725,0.09251165544278087,0.09187490188746016,0.0931681843700265,0.10110284970336213,0.10048494041380236,0.10172138936357189
0.006309573444801936,0.09744849052008879,0.09684505477809019,0.09804241762246703,0.10500617539136615,0.10441553787341709,0.10558713718577115
0.00794328234724282,0.10205070102296993,0.10147252596421309,0.10262626792791928,0.11086246378272047,0.11028326591974666,0.11144004981754269
0.01,0.10238334665921889,0.10183155719337275,0.1029363382503164,0.11177470077106011,0.11122507373563485,0.1123270525579487
0.012589254117941675,0.11121759172844067,0.11064558972164763,0.11178377239829851,0.12102567390401472,0.12046266015286486,0.12158122551564836
0.01584893192461114,0.113029496137434,0.1124965071615649,0.11356173089502608,0.12379211157901254,0.12325545929367712,0.1243326433338784
0.01995262314968881,0.11395788965189267,0.1134445871396162,0.1144791394853283,0.12378150853002882,0.12325177875726176,0.12430817271729318
0.025118864315095822,0.12106896883314826,0.12056326668038464,0.12159085612119555,0.13118872983206534,0.1306570436132335,0.13171715122080513
0.03162277660168379,0.12064042864933923,0.12017350841850122,0.12110995160961008,0.1314497210478626,0.1309579846407229,0.13194599562032117
0.039810717055349734,0.12136526326826806,0.12090809283023536,0.12182695174421236,0.1321910092181165,0.13170307592388275,0.13268204807507777
0.05011872336272725,0.12658259870632055,0.12611605874819376,0.1270451613028751,0.1382755740844133,0.13778887000449125,0.13877567059706672
0.06309573444801936,0.12863536793609498,0.128176261268353,0.12910843298607144,0.138606223883445,0.13810834585609622,0.13909508190091416
0.07943282347242822,0.12837499790189622,0.12788022734370122,0.12886656448658176,0.1387094513665039,0.13817794213700593,0.13924415105045376
0.1,0.14111269443369684,0.14055085581226148,0.14167554720737408,0.15254864686600136,0.15194905733423772,0.15312930180300152
0.12589254117941687,0.14650613878206978,0.1459008082616878,0.1470804049431609,0.15863551322568287,0.15802286623522382,0.15926130316135942
0.15848931924611143,0.14380908531737727,0.14319006962766548,0.14444331140344252,0.15702729143537766,0.15638579102419195,0.15769083156823266
0.1995262314968879,0.145938955506625,0.14530982270367945,0.1465835227684699,0.15615867600368227,0.15549133295766826,0.15684288008154415
0.25118864315095824,0.15604344292523412,0.15530462508388887,0.15678713702521474,0.1646042008920764,0.16382647893833138,0.16538261817347538
0.31622776601683794,0.1396900704920329,0.1389404076197107,0.14041747104799807,0.1460483444518021,0.1452726036506275,0.14681777602657467
0.39810717055349776,0.14075914774283732,0.13997149506681916,0.1415690930426531,0.14458183283705248,0.14372021147977032,0.14541595020778986
0.5011872336272722,0.15573761568036507,0.15483915237484808,0.1566547442960943,0.1601634750378191,0.15920822286790345,0.16113163921829876
