cent,pathlen_out,pathlen_in,ratio_mean,ratio_upper,ratio_lower
1e-05,6.838237703701278,5.451824616073596,0.797255792320258,0.7971054959539092,0.7974060886866068
1.2589254117941661e-05,5.52414577920882,5.01327574126032,0.907520536537827,0.9073431081920074,0.9076979648836467
1.584893192461114e-05,5.279871739230731,4.85607976107614,0.9197344180055628,0.9195749044805868,0.9198939315305388
1.9952623149688786e-05,4.681172899266617,4.585766822823978,0.9796191942056077,0.9794421877586283,0.9797962006525871
2.5118864315095822e-05,4.603308023389339,4.564647542637933,0.9916015874338304,0.9914344184611765,0.9917687564064843
3.1622776601683795e-05,4.260741098013519,4.408982735834863,1.034792454059223,1.0346183296098281,1.034966578508618
3.9810717055349695e-05,4.0467633279109,4.315500450836736,1.0664079172009386,1.0662268162818096,1.0665890181200677
5.011872336272725e-05,3.9446271579260994,4.254119037967517,1.078459096071067,1.0782781732705766,1.0786400188715572
6.309573444801929e-05,3.878189846668131,4.212160764513036,1.0861151548007726,1.0859335043369907,1.0862968052645545
7.943282347242822e-05,3.7960408461117168,4.147657633934633,1.0926272406325732,1.0924379613248743,1.0928165199402722
0.0001,3.7496527741323593,4.1006282105418475,1.0936021169475152,1.0934086648436658,1.0937955690513645
0.00012589254117941674,3.6881434342718706,4.044366199070958,1.0965859306299752,1.0963834475876866,1.0967884136722639
0.00015848931924611142,3.653175425017885,4.008511264006389,1.0972676640903727,1.0970630397854721,1.0974722883952732
0.00019952623149688788,3.616826711868399,3.966298423136467,1.0966238474250931,1.0964124795981012,1.096835215252085
0.0002511886431509582,3.5774218090390337,3.9234517678980967,1.0967260719843688,1.0965084806059964,1.0969436633627412
0.00031622776601683794,3.5393526883877486,3.8821423513401423,1.0968509478369037,1.0966244522266122,1.0970774434471953
0.00039810717055349735,3.5006877497101945,3.8391675870138844,1.0966895253535556,1.0964519457059254,1.0969271050011857
0.0005011872336272725,3.4713723405186876,3.8022107899798976,1.0953048007088932,1.0950601711193382,1.0955494302984483
0.000630957344480193,3.4376443756758133,3.761360094959236,1.0941678904197847,1.093909035343367,1.0944267454962024
0.0007943282347242822,3.403198592771839,3.725103643345291,1.0945889701553126,1.0943192582112875,1.0948586820993378
0.001,3.3673012970474674,3.683364814759596,1.0938625591634212,1.0935807544232923,1.0941443639035502
0.0012589254117941675,3.3238226843696363,3.6388186170832566,1.0947691745477053,1.0944719660482902,1.0950663830471203
0.001584893192461114,3.2824551495967498,3.59271195425712,1.0945197390124526,1.094213139157773,1.0948263388671322
0.0019952623149688807,3.2349646242879664,3.5416886083796717,1.0948152512703808,1.0944916499065418,1.0951388526342198
0.002511886431509582,3.18414901518959,3.4872217841423607,1.0951817165187139,1.0948359241567764,1.0955275088806513
0.0031622776601683794,3.1336652864407526,3.430126912469655,1.0946053898303771,1.094240752968778,1.0949700266919762
0.003981071705534973,3.084054003359278,3.374803618181799,1.0942751373908284,1.0938809155133766,1.0946693592682801
0.005011872336272725,3.0262485285340057,3.3103597081618408,1.0938823024891209,1.093460718484318,1.0943038864939238
0.006309573444801936,2.967550055360263,3.248730473418168,1.0947517018980641,1.0943160375453285,1.0951873662507998
0.00794328234724282,2.912278123178257,3.1905596492468478,1.0955545846069208,1.095089485626615,1.0960196835872267
0.01,2.86057962598341,3.1366430692841516,1.0965061209978246,1.0960160319127983,1.096996210082851
0.012589254117941675,2.8151397362324895,3.0864342487978385,1.0963698210648571,1.0958510002155757,1.0968886419141386
0.01584893192461114,2.76125716512698,3.0264754087701053,1.0960498163815187,1.095487453053003,1.0966121797100343
0.01995262314968881,2.7082246249081785,2.972102041757287,1.097435572532275,1.096834342137311,1.0980368029272392
0.025118864315095822,2.673341850407673,2.9369983645413913,1.0986243170081793,1.0979954033059538,1.0992532307104048
0.03162277660168379,2.629367441275974,2.8915006749271948,1.099694409196849,1.0990367510332582,1.10035206736044
0.039810717055349734,2.5860698679683645,2.8488181520785654,1.1016013864514265,1.1009065186882372,1.1022962542146157
0.05011872336272725,2.560703348885197,2.819972891030262,1.101249347056979,1.1005157371621388,1.1019829569518194
0.06309573444801936,2.5290929245748113,2.7871267006998273,1.1020262140548234,1.101224445493837,1.1028279826158098
0.07943282347242822,2.5022894948478176,2.7591734039817455,1.102659548246841,1.101737250386674,1.1035818461070082
0.1,2.483370368800101,2.736231510362726,1.1018217599632154,1.100752797383699,1.1028907225427318
0.12589254117941687,2.4581134854066353,2.705902684413311,1.1008046213055749,1.099594329665253,1.1020149129458967
0.15848931924611143,2.4385840461671937,2.679145217464677,1.0986478902302914,1.0973109817294806,1.0999847987311022
0.1995262314968879,2.4276966786040464,2.6632160021788134,1.097013488397864,1.0955352599636383,1.0984917168320896
0.25118864315095824,2.4093170360655645,2.6391019506605966,1.0953734652395435,1.093577252833779,1.097169677645308
0.31622776601683794,2.3830293137043106,2.6103797015556403,1.0954039409201424,1.0930448462202187,1.097763035620066
0.39810717055349776,2.3682728096106054,2.597933506973188,1.0969739197390922,1.0939041072908242,1.1000437321873602
0.5011872336272722,2.3541149345988495,2.5804515900881304,1.096145116859905,1.0923707806544452,1.0999194530653649
