2008,1929,1380,842,370,342,215,111,36,13,12,11,9,6,5,1,0,3,1,0,0,0,1,0,0,0,0,0
2277,486,804,201,394,139,154,55,20,11,24,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
1798,978,176,453,161,130,170,25,11,9,3,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1064,178,188,25,30,70,20,12,7,3,0,0,7,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0
458,436,137,54,36,51,27,5,5,4,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
389,137,101,80,58,4,21,6,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,183,175,20,15,33,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,77,26,12,6,17,4,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,14,8,8,4,3,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12,12,2,3,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12,7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
