Year,Gini_Outflow,Gini_Outflow_Lower,Gini_Outflow_Upper,Gini_Inflow,Gini_Inflow_Lower,Gini_Inflow_Upper
1982,0.7154083874948709,0.6818635237541241,0.7454573850757363,0.7032640230793841,0.67172120850612,0.7307085745403793
1986,0.7430413584107998,0.7146860158682378,0.7689200653900565,0.7326302680403992,0.7042277746706259,0.7582832920190951
1990,0.7496052275177214,0.7220368463313078,0.7741620528466089,0.7427630868135929,0.7170827339522398,0.7666549759788116
1994,0.765824553502117,0.7408603555085511,0.7883649413203708,0.7492978768087414,0.7251758123448108,0.7724284747586126
1998,0.7718238337269635,0.7487601759868813,0.7924367708829873,0.762617227408495,0.7406110543000276,0.7830248958009347
2002,0.8050599412284802,0.7880566817949621,0.8205973414175858,0.793962187623714,0.7758402136353252,0.8102751775300416
2006,0.8141222904406787,0.7982586697819841,0.8283632174277596,0.8069395057542423,0.7907479620311975,0.8212639430425493
2010,0.8356901036421946,0.8214459169985122,0.8479958899196693,0.824590649100292,0.8100185625786618,0.8378030137904112
2014,0.8444702463081093,0.8304074277621334,0.8572104926344303,0.8330011594165512,0.8180061519514471,0.846982157993281
2018,0.8533950219468144,0.8383820527469892,0.8672677232038829,0.8406723540517547,0.8250928178403876,0.8550429590175979
2022,0.8590303675316797,0.842562420666923,0.8739890773073425,0.8485439548805435,0.8318349506694844,0.8640946349934139
