Year,Gini_Outflow,Gini_Outflow_Lower,Gini_Outflow_Upper,Gini_Inflow,Gini_Inflow_Lower,Gini_Inflow_Upper
1982,0.8395072733508546,0.8256394067476928,0.8507343255855728,0.8342528618956022,0.8223932744873419,0.8451738645457306
1986,0.8428972265978358,0.8287971158987444,0.8524583734775512,0.8387675292532271,0.8268226217789465,0.8491709377695723
1990,0.8643425948770036,0.8551549254492071,0.8717606317504785,0.8562528110519945,0.8464095271363639,0.8643512321851314
1994,0.8690067962987365,0.860858939222915,0.8759930037930135,0.8637934438748663,0.855665099189305,0.8702002734445715
1998,0.8812954296199287,0.8758839217737502,0.8858792957574118,0.8729108730191568,0.8674503951067913,0.8771496119499558
2002,0.8845014724590873,0.8802517370552106,0.8882281933984726,0.87449498493186,0.8697523078780103,0.8784553604781041
2006,0.8875371796354414,0.8840654112998622,0.8904130019489473,0.8790869157913774,0.8748704433859191,0.8824787689431466
2010,0.8862357688059741,0.8826177763873783,0.8891908466192169,0.8800887648864324,0.8771303525861218,0.8825881056814894
2014,0.8886977037349495,0.8865715679087526,0.890390908986152,0.8835785010505548,0.8807979905988672,0.8858671787872271
2018,0.8922578186390719,0.890057389609433,0.8943671955178386,0.8887103324006135,0.8868397202030247,0.8900677221828893
2022,0.8966899515917752,0.8952451510819146,0.8975158117703482,0.8936808194288257,0.8924045878068227,0.8945466897453355
