Year,Gini_Outflow,Gini_Outflow_Lower,Gini_Outflow_Upper,Gini_Inflow,Gini_Inflow_Lower,Gini_Inflow_Upper
1982,0.7305525552466434,0.6875371485397702,0.7657966657781119,0.7178570993430189,0.678898935004599,0.7510823924017405
1986,0.755571257873797,0.718466804296912,0.7864262165983747,0.7456745153144162,0.7082189953448413,0.7784869327272129
1990,0.7602250641836497,0.7234034287421961,0.7907018459498922,0.7484813144369175,0.7136665597051063,0.7795909539568402
1994,0.7764491950027631,0.7424639593984591,0.806229610901108,0.7536830979984901,0.7200300486641144,0.7846045841053149
1998,0.7773725489108139,0.7456793823895512,0.8052795171797346,0.7661293849225488,0.7367011575064427,0.7937542615436336
2002,0.8058879283684547,0.7826809051733469,0.8267170382400655,0.7951831969305337,0.7721207128034897,0.8156595659858232
2006,0.8127116502763466,0.7921085120304782,0.831561049855585,0.8052016153262903,0.7838582881719961,0.8229270837979586
2010,0.8278593500167873,0.8107653073802272,0.8432740509568842,0.8185667322341507,0.8007719637108529,0.8347785215151705
2014,0.8380330504192952,0.8217390899128646,0.8525899308145137,0.8264233162675302,0.8085496943887488,0.8420142593684848
2018,0.8415564940514789,0.8250161840620571,0.8568254733844508,0.8318666251599108,0.8144169737750213,0.8475237127305237
2022,0.8456522728782838,0.827700163543531,0.8613448735004585,0.8372219854035187,0.8187168742619116,0.8540339595771954
