flowtimes,nsample,prob
1,1789452,0.7301727979160444
2,446675,0.18226246611205504
3,129254,0.05274114914612988
4,48178,0.01965868045524506
5,20028,0.00817227888574968
6,9158,0.0037368549049178936
7,4258,0.001737445750725092
8,2032,0.000829142734963219
9,921,0.0003758073124513409
10,434,0.00017709052508564817
11,242,9.874632965605267e-05
12,92,3.753992697668118e-05
