pathlen,prob
1,0.0012929845284408957
2,0.09652758162793523
3,0.6317906514030357
4,0.2515018017989186
5,0.018213717730577676
6,0.0006095237987828396
7,1.024358974462253e-05
8,7.50647327130516e-08
9,5.342045783174194e-05
