cid,ratio_self,ratio_inter
0,0.5574269060756459,0.6798010156492901
1,0.519640364767514,0.6846315444350671
2,0.4843290945169253,0.6367788575118517
3,0.3946308172997862,0.6425241106214473
4,0.31323495078824815,0.6182533489400442
5,0.4286734430314357,0.7053127529194126
6,0.3010228467641717,0.6006989951944081
7,0.30994851994851996,0.6425819299536777
8,0.5262229119603512,0.5897863470557582
9,0.43533058021546855,0.6536640371773343
10,0.38205345778532035,0.6560602994738972
11,0.1556770514210303,0.5566588342302736
12,0.3260291704227631,0.5019735051265766
13,0.21850639976903088,0.5472304999763493
