cid1,cid2,flown_top,flown_all,top_ratio
12,8,683,1636,0.41748166259168706
12,9,1061,2511,0.42254082039028273
12,10,331,623,0.5313001605136437
12,11,8,35,0.22857142857142856
12,12,14105,43263,0.3260291704227631
12,13,122,320,0.38125
13,0,2603,3892,0.6688078108941419
13,1,448,674,0.6646884272997032
13,2,474,877,0.540478905359179
13,3,54,108,0.5
13,4,22,49,0.4489795918367347
13,5,21,39,0.5384615384615384
13,6,149,389,0.38303341902313626
13,7,8,19,0.42105263157894735
13,8,349,812,0.42980295566502463
13,9,1396,3058,0.4565075212557227
13,10,133,210,0.6333333333333333
13,11,19,30,0.6333333333333333
13,12,154,582,0.2646048109965636
13,13,4541,20782,0.21850639976903088
