rankpct_int,cntpct
1,32.48464682745171
2,13.782444388131728
3,8.614082831109593
4,6.458975573747011
5,5.166686865793331
6,4.319866024701696
7,3.597457113581525
8,2.943930896951401
9,2.4814957636922537
10,2.1305157387922393
11,1.8293798133600696
12,1.5659244405760053
13,1.3676938840717032
14,1.2204532684023226
15,1.0817183213423969
16,0.971673479281205
17,0.9049943258816919
18,0.7575774269250684
19,0.6712867578198164
20,0.6025362757952027
21,0.5600520035697366
22,0.49019975099985674
23,0.4419862719390059
24,0.4042175776472792
25,0.373544285667067
26,0.3414166565671033
27,0.3149741634807135
28,0.29016229080131767
29,0.26640811784537755
30,0.2511596134988927
31,0.2319006643676388
32,0.2131705650981126
33,0.19695250267179357
34,0.1884468340623382
35,0.16835053931668192
36,0.15319017661381837
37,0.14067406321959391
38,0.13216839461013846
39,0.12573405462578363
40,0.11749281094719215
41,0.10960413384308584
42,0.10123067769906237
43,0.09343014223857742
44,0.0878331478686249
45,0.08267686171677886
46,0.07707986734682634
47,0.07227614776946549
48,0.06751649901391535
49,0.06341791258552494
50,0.05923118451351322
51,0.05680728931392747
52,0.05266463206372642
53,0.04940339124973833
54,0.04636250454480351
55,0.043101263730815416
56,0.040192589491312554
57,0.037724623469916146
58,0.035432940735762385
59,0.03327347046704053
60,0.031775062525478445
61,0.030100371296673752
62,0.028161255137005174
63,0.026750988839064373
64,0.024900014323017083
65,0.023137181450591102
66,0.02159470268721836
67,0.020448861320141475
68,0.01855381598228353
69,0.01745204543701728
70,0.016306204069940395
71,0.01502815023743155
72,0.01361788393949076
73,0.013044963255952315
74,0.011766909423443475
75,0.011414342848958278
76,0.009915934907396187
77,0.00978372244196424
78,0.008505668609455393
79,0.008153102034970197
80,0.007932747925916948
81,0.006522481627976157
82,0.006522481627976157
83,0.006081773409869663
84,0.005024073686414069
85,0.00489186122098212
86,0.00489186122098212
87,0.004230798893822372
88,0.0032612408139880786
89,0.0032612408139880786
90,0.0032612408139880786
91,0.0032612408139880786
92,0.002600178486828333
93,0.0016306204069940393
94,0.0016306204069940393
95,0.0016306204069940393
96,0.0016306204069940393
97,0.0016306204069940393
98,0.0016306204069940393
99,0.0016306204069940393
100,0.0016306204069940393
