year,modu,modu_w,modu_max,modu_w_max,ncomms,modu_main,modu_w_main,modu_max_main,modu_w_max_main,ncomms_main
1975,0.3994746416601291,0.4941617113322446,0.7823875688377163,0.7848951351249396,52,0.3960574295138975,0.48451510086633226,0.7812766518516349,0.7832589268706237,9
1980,0.36913034693105773,0.48010073392627556,0.48359278031528086,0.49173435351235584,35,0.368742151943882,0.4800945531521956,0.4831061276539949,0.49118603669857436,9
1985,0.36193171353008885,0.4954697698704777,0.5227223203243136,0.53191731478594,43,0.36079021723721244,0.49496775811295485,0.5226727199329669,0.5318585177999543,10
1990,0.35535017457196577,0.4972250470281967,0.5775779653450573,0.5854440685319985,45,0.35470305521184126,0.4970301902208762,0.5775357710997628,0.585390940805638,10
1995,0.3271818647735924,0.4851062089398006,0.6186910917448075,0.628137962175243,40,0.32657786042252746,0.4848982898013057,0.6186722615309892,0.6281195343823699,11
2000,0.3270852527556505,0.49247704363184325,0.6049632482852633,0.6126945311659618,60,0.3266221276492773,0.49233974770169225,0.6049290247812843,0.6126555680766423,14
2005,0.3343243056819762,0.4986256737795839,0.6571510566240031,0.6626915887879672,77,0.3337155864734299,0.49841536529279246,0.6571418265947216,0.6626812511427691,13
2010,0.35730551955131107,0.5384754182127418,0.6694205374843212,0.6763586938809705,119,0.35676230095124845,0.5383375136787145,0.6694132124004551,0.6763506929112835,16
2015,0.37704419612919904,0.5639460247080306,0.7018883566015177,0.7077065194612073,157,0.3764934736098846,0.5638218343692527,0.7018828666013467,0.7077006116838327,15
2020,0.3905073898583206,0.5863780441769154,0.7186540927164972,0.7248263468074697,161,0.39011740146454393,0.5862994032362093,0.7186512453066684,0.7248231246347887,15
